Vserver Type,Partition Name,Vserver State,Vserver State Timestamp,Vserver IP Address,Vserver Name,Hostname,Display Name,Vserver Health,App Security,Vserver Effective State,Vserver Port
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.88,vm8075,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Out of Service,00h : 00m : 26s,10.82.134.17,vm8076,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.13,vm8077,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.251,vm8078,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
TCP,,Out of Service,00h : 00m : 11s,10.82.134.16,vm8079,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,4447
SSL_TCP,,Out of Service,00h : 00m : 11s,10.247.216.48,vm8080,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,6514
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm8081,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8082,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4903
HTTP,,Down,"110 days, 08h : 25m : 27s",10.82.134.40,vm8083,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"110 days, 08h : 25m : 27s",10.82.134.18,vm8084,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.88.96.143,vm8085,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"110 days, 08h : 26m : 45s",10.82.138.20,vm8086,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,80
HTTP,,Out of Service,"118 days, 18h : 58m : 14s",10.82.134.247,vm8087,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
SSL_BRIDGE,,Out of Service,"46 days, 01h : 48m : 10s",10.82.134.20,vm8088,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,10550
SSL,,Down,"149 days, 20h : 46m : 07s",10.82.138.12,vm8089,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8090,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.253,vm8091,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.88.96.145,vm8092,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"111 days, 19h : 21m : 25s",10.82.134.16,vm8093,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,80
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.12,vm8094,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
HTTP,,Out of Service,00h : 00m : 15s,10.82.134.252,vm8095,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
HTTP,,Up,"70 days, 15h : 37m : 47s",10.82.134.17,vm8096,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.247.216.48,vm8097,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.249,vm8098,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL_BRIDGE,,Out of Service,"4 days, 21h : 07m : 09s",10.82.134.20,vm8099,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
TCP,,Down,"146 days, 17h : 35m : 24s",10.82.134.30,vm8100,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,25
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.8,vm8101,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.254,vm8102,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
UDP,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8103,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8104,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4889
SSL,,Down,"146 days, 17h : 35m : 24s",192.168.1.30,vm8105,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Up,"48 days, 18h : 27m : 42s",10.82.134.17,vm8106,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,4447
HTTP,,Down,"110 days, 08h : 21m : 02s",10.82.134.248,vm8107,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Up,"32 days, 15h : 18m : 40s",10.82.134.7,vm8108,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Out of Service,"4 days, 21h : 06m : 35s",10.82.134.8,vm8109,nhqnscab5a,10.86.90.101-10.86.90.102,50,,DOWN,80
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.2,vm8110,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.251,vm8111,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.15,vm8112,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8113,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Out of Service,"4 days, 21h : 06m : 58s",10.86.90.150,vm8114,nhqnscab5a,10.86.90.101-10.86.90.102,50,,DOWN,80
HTTP,,Up,"80 days, 16h : 57m : 28s",10.82.134.1,vm8115,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.249,vm8116,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8117,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
ANY,,Out of Service,"46 days, 01h : 48m : 22s",10.82.134.20,vm8118,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,65535
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.2,vm8119,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Down,"146 days, 17h : 35m : 24s",10.82.134.150,vm8120,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,636
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.23,vm8121,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.7,vm8122,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL,,Down,"110 days, 08h : 25m : 27s",0.0.0.0,vm8123,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
SSL,,Up,"146 days, 17h : 24m : 20s",10.82.134.1,vm8124,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Up,"4 days, 07h : 11m : 45s",10.82.134.18,vm8125,nhqnscab5a,10.86.90.101-10.86.90.102,50,,UP,80
HTTP,,Down,"110 days, 08h : 22m : 10s",10.82.138.11,vm8126,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,80
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.13,vm8127,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"110 days, 08h : 25m : 27s",0.0.0.0,vm8128,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Out of Service,"46 days, 01h : 47m : 46s",10.82.134.22,vm8129,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.15,vm8130,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"117 days, 18h : 42m : 28s",10.82.134.254,vm8131,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Out of Service,"46 days, 01h : 47m : 35s",10.82.134.22,vm8132,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
SSL,,Up,"48 days, 18h : 27m : 43s",10.82.134.16,vm8133,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,443
SSL,,Down,"6 days, 16h : 05m : 43s",10.82.134.24,vm8134,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,18443
TCP,,Out of Service,"4 days, 21h : 06m : 46s",10.82.134.6,vm8135,nhqnscab5a,10.86.90.101-10.86.90.102,50,,DOWN,7520
SSL,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm8136,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.130,vm8137,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.21,vm8138,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm8139,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL,,Down,"149 days, 20h : 46m : 07s",0.0.0.0,vm8140,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,0
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.253,vm8141,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8142,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,5443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.14,vm8143,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL_BRIDGE,,Down,"146 days, 17h : 35m : 24s",192.168.1.1,vm8144,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm8145,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Out of Service,"46 days, 01h : 47m : 58s",10.82.134.14,vm8146,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.19,vm8147,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Up,"146 days, 17h : 24m : 20s",10.82.134.13,vm8148,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,7520
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.12,vm8149,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
